ClassId,TR,EN
0,merhaba,hello
1,nasilsin,how_are_you
2,iyiyim,im_fine
3,tesekkur,thank_you
4,ozur,sorry
5,lutfen,please
6,evet,yes
7,hayir,no
8,belki,maybe
9,bilmiyorum,dont_know
10,ben,I
11,sen,you
12,o,he_she
13,biz,we
14,siz,you_plural
15,onlar,they
16,bu,this
17,su,that_near
18,o_uzak,that_far
19,kendim,myself
20,bir,one
21,iki,two
22,uc,three
23,dort,four
24,bes,five
25,alti,six
26,yedi,seven
27,sekiz,eight
28,dokuz,nine
29,on,ten
30,yirmi,twenty
31,otuz,thirty
32,kirk,forty
33,elli,fifty
34,yuz,hundred
35,bin,thousand
36,milyon,million
37,sifir,zero
38,yarim,half
39,cift,pair
40,anne,mother
41,baba,father
42,kardes,sibling
43,abla,older_sister
44,abi,older_brother
45,dede,grandfather
46,nine,grandmother
47,amca,uncle
48,teyze,aunt
49,dayi,uncle_maternal
50,hala,aunt_paternal
51,kuzen,cousin
52,oglu,son
53,kiz,daughter
54,torun,grandchild
55,esim,spouse
56,aile,family
57,arkadas,friend
58,komsu,neighbor
59,cocuk,child
60,el,hand
61,ayak,foot
62,bas,head
63,goz,eye
64,kulak,ear
65,agiz,mouth
66,burun,nose
67,sac,hair
68,kalp,heart
69,parmak,finger
70,kol,arm
71,bacak,leg
72,dis,tooth
73,dil,tongue
74,karin,stomach
75,sirt,back
76,bugun,today
77,dun,yesterday
78,yarin,tomorrow
79,sabah,morning
80,oglen,noon
81,aksam,evening
82,gece,night
83,hafta,week
84,ay,month
85,yil,year
86,saat,hour_clock
87,dakika,minute
88,zaman,time
89,simdi,now
90,sonra,later
91,once,before
92,pazartesi,monday
93,sali,tuesday
94,carsamba,wednesday
95,persembe,thursday
96,cuma,friday
97,cumartesi,saturday
98,pazar,sunday
99,kirmizi,red
100,mavi,blue
101,yesil,green
102,sari,yellow
103,beyaz,white
104,siyah,black
105,mor,purple
106,turuncu,orange
107,pembe,pink
108,kahverengi,brown
109,gri,gray
110,ev,home
111,oda,room
112,kapi,door
113,pencere,window
114,masa,table
115,sandalye,chair
116,yatak,bed
117,mutfak,kitchen
118,banyo,bathroom
119,salon,living_room
120,bahce,garden
121,araba,car
122,otobus,bus
123,ucak,airplane
124,tren,train
125,bisiklet,bicycle
126,vapur,ferry
127,taksi,taxi
128,yol,road
129,sokak,street
130,sehir,city
131,kedi,cat
132,kopek,dog
133,kus,bird
134,balik,fish
135,at,horse
136,inek,cow
137,koyun,sheep
138,tavuk,chicken
139,fil,elephant
140,aslan,lion
141,kaplan,tiger
142,ayi,bear
143,tavsan,rabbit
144,fare,mouse
145,yagmur,rain
146,kar,snow
147,gunes,sun
148,bulut,cloud
149,ruzgar,wind
150,sicak,hot
151,soguk,cold
152,hava,weather
153,mevsim,season
154,bahar,spring
155,yaz,summer
156,sonbahar,autumn
157,kis,winter
158,gitmek,to_go
159,gelmek,to_come
160,yapmak,to_do
161,sevmek,to_love
162,istemek,to_want
163,yemek,to_eat
164,icmek,to_drink
165,uyumak,to_sleep
166,oturmak,to_sit
167,kalkmak,to_stand
168,yurumek,to_walk
169,kosmak,to_run
170,calismak,to_work
171,oynamak,to_play
172,okumak,to_read
173,yazmak,to_write
174,dinlemek,to_listen
175,konusmak,to_speak
176,gormek,to_see
177,duymak,to_hear
178,almak,to_take
179,vermek,to_give
180,bilmek,to_know
181,anlamak,to_understand
182,beklemek,to_wait
183,baslamak,to_start
184,bitirmek,to_finish
185,ekmek,bread
186,su_icmek,water
187,cay,tea
188,kahve,coffee
189,sut,milk
190,yumurta,egg
191,elma,apple
192,muz,banana
193,portakal,orange_fruit
194,domates,tomato
195,patates,potato
196,et,meat
197,balik_yemek,fish_food
198,peynir,cheese
199,tuz,salt
200,seker,sugar
201,okul,school
202,ogretmen,teacher
203,ogrenci,student
204,kitap,book
205,kalem,pen
206,defter,notebook
207,sinif,classroom
208,ders,lesson
209,sinav,exam
210,universite,university
211,is,job
212,para,money
213,telefon,phone
214,bilgisayar,computer
215,muzik,music
216,film,movie
217,spor,sport
218,futbol,football
219,kitap_okumak,reading
220,mutlu,happy
221,uzgun,sad
222,kizgin,angry
223,korkmak,afraid
224,yorgun,tired
225,saskin,surprised
